"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
bkb10b503,bkbsin,,radio,"<div style=""text-align:right"">cheese","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '10'",y,,,bkb10b5,,
bkb10b5,bkbsin,,calc,"5. <u> They</u> <font color = ""gray""> are </font color><u>shopping</u> <font color = ""gray""> for </font color> <u>cheese</u>.","sum([bkb10b501],[bkb10b502],[bkb10b503])",,,,,,"[bkb_list] = '10'",y,,,,,
bkb10b601,bkbsin,"<font size=3>6. <font color = ""gray""> The </font color><u>bus stopped suddenly</u>.",radio,"<div style=""text-align:right"">bus","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '10'",y,,,bkb10b6,,
bkb10b602,bkbsin,,radio,"<div style=""text-align:right"">stopped","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '10'",y,,,bkb10b6,,
bkb10b603,bkbsin,,radio,"<div style=""text-align:right"">suddenly","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '10'",y,,,bkb10b6,,
bkb10b6,bkbsin,,calc,"6. <font color = ""gray""> The </font color><u>bus stopped suddenly</u>.","sum([bkb10b601],[bkb10b602],[bkb10b603])",,,,,,"[bkb_list] = '10'",y,,,,,
bkb10b701,bkbsin,"<font size=3>7. <font color = ""gray""> The </font color><u>three girls</u> <font color = ""gray""> are</font color> <u>listening</u>.",radio,"<div style=""text-align:right"">three","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '10'",y,,,bkb10b7,,
bkb10b702,bkbsin,,radio,"<div style=""text-align:right"">girls","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '10'",y,,,bkb10b7,,
bkb10b703,bkbsin,,radio,"<div style=""text-align:right"">listening","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '10'",y,,,bkb10b7,,
bkb10b7,bkbsin,,calc,"7. <font color = ""gray""> The </font color><u>three girls</u> <font color = ""gray""> are</font color> <u>listening</u>.","sum([bkb10b701],[bkb10b702],[bkb10b703])",,,,,,"[bkb_list] = '10'",y,,,,,
bkb10b801,bkbsin,"<font size=3>8. <font color = ""gray""> The </font color><u>coat is</u> <font color = ""gray""> on a</font color> <u>chair</u>.",radio,"<div style=""text-align:right"">coat","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '10'",y,,,bkb10b8,,
bkb10b802,bkbsin,,radio,"<div style=""text-align:right"">is","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '10'",y,,,bkb10b8,,
bkb10b803,bkbsin,,radio,"<div style=""text-align:right"">chair","1, <font size = 3><b>&#x2714 | 0, <font size = 3><b>&#x2718",,,,,,"[bkb_list] = '10'",y,,,bkb10b8,,
bkb10b8,bkbsin,,calc,"8. <font color = ""gray""> The </font color><u>coat is</u> <font color = ""gray""> on a</font color> <u>chair</u>.","sum([bkb10b801],[bkb10b802],[bkb10b803])",,,,,,"[bkb_list] = '10'",y,,,,,
bkb10b_total,bkbsin,,calc,"Total Key Words Correct","sum([bkb10b1],[bkb10b2],[bkb10b3],[bkb10b4],[bkb10b5],[bkb10b6],[bkb10b7],[bkb10b8])",,,,,,"[bkb_list] = '10'",,,,,,
bkb10b_snr50,bkbsin,,calc,SNR-50,"23.5 - [bkb10b_total]",,,,,,"[bkb_list] = '10'",,,,,,
bkb10_snr50,bkbsin,,calc,"Average SNR-50","mean([bkb10a_snr50], [bkb10b_snr50])",,,,,,"[bkb_list] = '10'",,,,,,
bkb_ptrel1,bkbsin,"<center><font size = 3>Quality Checks",dropdown,"Patient Reliability
","3, Good | 2, Fair | 1, Poor | 999, Missing",,,,,,"[bkb] = '1'",y,,,,,
bkb_eqrel1,bkbsin,,dropdown,"Equipment Reliability","3, Good | 2, Fair | 1, Poor | 999, Missing",,,,,,"[bkb] = '1'",y,,,,,
bkb_analysis,bkbsin,,yesno,"Include Data for Analysis",,,,,,,"[bkb] = '1'",y,,,,,
